"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br","mob.bus.in","mob.full.in"
2020-09-27,2020,40,743.910650026604,5.07278448776518,170.180890394813,9.36011552181295,882.466316011364,21.4071985768423,401.556432504509,5.249127259308,-24.5952380952381,-8.70238095238095,-19.1190476190476,-12.3928571428571,-14.5714285714286,-8.22619047619048,-22.7142857142857,-14.3214285714286
2020-10-04,2020,41,1624.85978735708,6.49492349156062,186.203009846742,12.2414322215881,821.539213840469,19.6781735880993,363.763293143909,4.72486355309603,-25.0952380952381,-9.53571428571429,-19.7857142857143,-13.5,-9,-4.02380952380952,-20.8095238095238,-13.3452380952381
2020-10-11,2020,42,1679.94201660718,12.0075447846234,187.119035387133,12.2414322215881,662.286666296219,16.248161853674,317.835773307282,4.10829482020575,-25.547619047619,-8.41666666666667,-20.8095238095238,-14.3928571428571,-13.4761904761905,-5.94047619047619,-16.6428571428571,-9.01190476190476
2020-10-18,2020,43,2178.39440682406,17.0949904992318,201.775444033388,8.92708526635541,730.27005963739,15.0845747666551,267.006712327432,3.24726199322213,-27.4285714285714,-9.82142857142857,-19.0714285714286,-13.1190476190476,-10.1904761904762,-5.35714285714286,-14.8333333333333,-7.17857142857143
2020-10-25,2020,44,2311.34241183867,26.536820586286,186.636040102199,5.52946326199626,724.181087852708,13.9303337606564,230.236860723523,2.57949281584623,-30.2142857142857,-11.297619047619,-17.547619047619,-10.952380952381,-9.80952380952381,-5.44047619047619,-16.6904761904762,-8.98809523809524
2020-11-01,2020,45,2342.58548624164,34.2046422253068,174.111472713581,8.54402004037374,551.213166411267,11.1452016166271,233.410567148611,2.89174341390645,-32.0952380952381,-13.5595238095238,-15.4047619047619,-10.4285714285714,-13.1190476190476,-6.57142857142857,-15.5714285714286,-8.58333333333333
2020-11-08,2020,46,2535.14603960091,42.1950108548791,221.111910440549,6.94513909714591,913.102769595686,15.8369342887838,221.261639145099,2.534061435528,-43.7380952380952,-20.3809523809524,-19.1190476190476,-13.3452380952381,-6.30952380952381,-3.41666666666667,-13.6666666666667,-5.26190476190476
2020-11-15,2020,47,2184.91865276931,41.9311087717006,270.26084443498,10.6425512783603,952.491828055456,15.5658979391971,202.802076075479,2.59030981116009,-42.9047619047619,-20.6785714285714,-19.7380952380952,-14.202380952381,-7.04761904761905,-4.09523809523809,-16.8095238095238,-7.86904761904762
2020-11-22,2020,48,1638.96388758029,49.9068161744297,328.603343852971,9.89307583622223,1109.78169858546,16.6921007021351,214.257995245882,2.5016104495864,-41.1904761904762,-18.5357142857143,-14.0952380952381,-9.65476190476191,-7.57142857142857,-4.63095238095238,-14.547619047619,-6.78571428571429
2020-11-29,2020,49,1477.83700457295,43.7491009002638,421.538298678089,10.4593461702821,1340.71868755489,19.0052557546426,181.22289155734,2.51386971094212,-34.4285714285714,-16.7142857142857,-8.28571428571429,-4.36904761904762,-6.38095238095238,-3.35714285714286,-14.0952380952381,-5.03571428571429
2020-12-06,2020,50,1832.43343700385,44.1596152518749,708.104397732027,17.3045552084763,1415.6976225397,21.0053170929723,153.462154783838,2.04585438036225,-29.6904761904762,-13.4404761904762,-12.2857142857143,-7.33333333333333,-6.28571428571429,-3.19047619047619,-12.7142857142857,-2.88095238095238
2020-12-13,2020,51,2540.24814654236,44.7020806450752,991.172944722655,23.8666290796405,1556.25333500298,24.4540209894381,125.617045446888,1.77254496543194,-30.6190476190476,-13.5952380952381,-14.5714285714286,-4.38095238095238,-3.92857142857143,-1.10714285714286,-9.71428571428571,-0.523809523809524
2020-12-20,2020,52,3691.49166195504,48.821885388029,1372.93907993795,33.0102294737247,1180.64835792137,20.7436268244058,112.948901668311,1.54683032988263,-49.3809523809524,-23.6190476190476,-26.2857142857143,-8.13095238095238,-12.3333333333333,-3.4047619047619,-9.92857142857143,0.0833333333333333
2020-12-27,2020,53,5040.29520908053,61.0640098021444,1565.2045133611,44.2023960763195,1171.05927879461,23.0380897148729,98.1570211431114,1.30741416693576,-60.6190476190476,-27.8809523809524,-38,-15.5714285714286,-21.3571428571429,-8.46428571428572,-9.19047619047619,0.75
2021-01-03,2021,1,6122.82155427888,92.3364066588008,2086.6562159811,60.774130852483,1680.39265615422,32.2720177628625,91.092802070137,1.12785204472561,-53.4761904761905,-28.9642857142857,-28.4761904761905,-13.9761904761905,-9.76190476190476,-3.52380952380952,-8.54761904761905,0.785714285714286
2021-01-10,2021,2,4984.11338781719,113.213993683592,1856.7504603528,67.0697245664426,1771.36740880516,31.1458149999245,77.6667474865683,0.919444601678486,-55.1904761904762,-31.25,-34.8809523809524,-21.8928571428571,-14.8333333333333,-9.44047619047619,-14.2857142857143,-3.48809523809524
